id,rle_mask
e3b8f5e02b,15 5 21 4 32 6 39 1 41 8 113 11 125 1 129 2 133 17 214 3 218 1 220 2 224 1 226 1 233 17 318 1 335 6 342 6 349 1 435 14 535 15 635 16 734 18 835 20 935 21 1028 1 1031 1 1035 21 1129 2 1132 1 1134 25 1214 1 1235 24 1338 22 1436 1 1438 23 1517 1 1537 25 1618 1 1639 2 1642 21 1729 1 1742 23 1844 7 1852 13 1947 20 2021 1 2026 1 2047 22 2122 3 2127 2 2148 23 2223 3 2228 2 2233 1 2249 24 2324 3 2328 3 2332 1 2350 25 2425 2 2430 4 2450 27 2526 2 2530 6 2551 29 2627 3 2632 8 2653 28 2728 2 2733 8 2742 1 2752 1 2754 30 2786 1 2829 3 2833 10 2854 35 2930 3 2934 11 2951 1 2954 40 3002 4 3031 3 3035 13 3053 42 3096 1 3103 2 3106 1 3132 3 3136 12 3149 1 3152 49 3204 2 3207 3 3233 19 3253 2 3256 45 3302 1 3304 8 3334 16 3352 5 3358 55 3435 3 3439 12 3452 1 3454 4 3459 56 3536 3 3540 21 3562 55 3637 3 3641 21 3663 55 3738 81 3839 82 3940 81 4041 10 4052 3 4056 5 4062 60 4142 9 4152 2 4157 66 4243 24 4268 56 4344 81 4445 80 4546 10 4557 69 4647 80 4748 80 4849 79 4950 1 4952 76 5051 79 5152 79 5253 79 5354 79 5455 79 5556 79 5657 79 5758 79 5859 78 5960 18 5979 60 6061 78 6162 8 6171 2 6174 3 6178 62 6263 7 6271 4 6276 3 6280 61 6364 6 6372 1 6375 2 6378 2 6382 60 6465 7 6473 1 6476 2 6482 1 6484 59 6566 7 6580 1 6583 1 6585 58 6667 6 6674 1 6686 57 6768 5 6787 57 6869 3 6874 1 6883 2 6888 3 6892 52 6970 1 6992 53 7071 1 7076 1 7092 1 7094 52 7172 1 7196 1 7198 49 7273 1 7295 3 7299 4 7304 42 7374 1 7400 2 7403 3 7407 41 7475 1 7501 1 7503 1 7508 40 7576 1 7607 1 7611 30 7644 1 7677 1 7707 1 7709 33 7778 1 7813 24 7839 2 7879 1 7914 24 7980 1 8014 25 8081 1 8114 26 8182 1 8215 26 8283 1 8317 24 8384 1 8416 1 8418 24 8485 1 8517 1 8519 25 8586 1 8617 31 8687 1 8719 30 8788 1 8790 1 8820 32 8889 2 8920 32 9021 34 9121 36 9222 37 9260 2 9324 35 9360 1 9424 2 9427 34 9462 1 9527 35 9628 36 9665 1 9697 2 9729 40 9832 37 9899 2 9933 39 9976 1 10033 38 10072 1 10132 1 10135 36
fabad6b46a,
a39dc1c7d1,
7c14a49942,
99cf856ff7,2137 1 2439 2 2540 3 2640 4 2740 5 2842 4 2941 1 2943 5 3032 1 3036 1 3043 4 3136 2 3141 6 3233 3 3238 1 3241 6 3334 3 3338 12 3435 17 3536 18 3637 17 3655 1 3738 20 3839 19 3940 19 4041 18 4060 1 4142 19 4243 21 4344 21 4445 22 4546 24 4647 20 4668 3 4748 21 4770 1 4849 21 4950 2 4954 17 5051 17 5069 3 5152 16 5170 1 5253 17 5354 16 5455 17 5556 17 5657 15 5758 16 5859 17 5960 17 6061 18 6162 17 6263 19 6364 20 6465 21 6566 22 6667 22 6690 1 6768 25 6869 25 6970 26 7071 26 7172 26 7273 27 7374 26 7475 27 7576 27 7659 4 7677 27 7754 4 7759 7 7778 27 7853 16 7879 27 7952 19 7980 27 8051 24 8081 28 8153 21 8175 2 8182 28 8256 21 8283 29 8360 16 8384 29 8460 4 8465 14 8485 31 8560 5 8566 1 8568 11 8581 1 8583 1 8586 31 8654 32 8687 37 8754 32 8788 40 8854 33 8888 43 8952 84 9049 1 9051 92 9144 1058
3d6452e27a,1 10201
6213dd23d6,
dbd3a5dc0a,
f17a840281,
ae8823b009,1 63 102 63 169 2 203 64 304 64 405 64 506 67 607 67 708 65 809 66 910 67 1011 66 1089 1 1112 67 1180 2 1185 6 1213 66 1281 2 1286 6 1314 71 1386 7 1415 69 1486 8 1502 1 1516 79 1603 1 1617 66 1684 1 1687 8 1718 65 1791 6 1819 53 1873 9 1892 5 1920 53 1975 8 1992 7 2021 53 2078 1 2080 3 2091 1 2095 4 2122 53 2179 1 2181 3 2196 4 2216 1 2219 1 2223 52 2281 2 2284 1 2297 4 2312 2 2316 2 2320 1 2324 52 2398 4 2413 3 2417 3 2421 2 2425 48 2474 2 2499 3 2514 7 2523 1 2526 48 2575 1 2598 1 2600 3 2615 10 2627 48 2701 2 2713 2 2716 7 2724 2 2728 48 2800 6 2810 1 2812 15 2829 48 2902 5 2911 2 2914 14 2930 48 3004 5 3010 3 3014 15 3031 48 3106 7 3115 15 3132 47 3207 24 3232 48 3310 3 3316 16 3334 47 3410 23 3434 47 3510 24 3536 46 3612 23 3636 47 3712 24 3737 47 3813 24 3838 48 3914 24 3939 47 4015 24 4040 47 4116 24 4141 47 4217 24 4242 47 4318 24 4344 45 4419 24 4444 46 4520 24 4545 46 4621 24 4646 46 4722 24 4747 47 4823 24 4848 46 4924 72 5025 73 5126 25 5152 47 5227 6 5234 18 5253 47 5329 4 5335 7 5344 9 5354 47 5429 5 5436 8 5445 6 5452 1 5455 48 5530 2 5533 2 5537 4 5542 2 5546 3 5550 2 5553 1 5556 49 5631 5 5639 3 5643 2 5647 5 5654 1 5657 49 5733 1 5735 2 5741 1 5744 2 5750 1 5752 2 5755 1 5758 49 5834 1 5836 2 5842 1 5845 1 5849 3 5853 1 5856 1 5859 49 5935 1 5937 2 5942 1 5946 1 5950 1 5952 1 5954 2 5957 1 5960 50 6032 1 6034 1 6036 1 6038 1 6047 9 6058 1 6061 52 6147 2 6150 2 6154 4 6162 53 6240 1 6249 3 6254 1 6256 1 6263 54 6364 55 6465 55 6566 55 6667 55 6768 55 6824 1 6869 55 6925 1 6970 57 7071 57 7172 57 7250 1 7273 57 7334 1 7351 1 7374 57 7434 3 7475 58 7535 3 7540 1 7544 3 7553 1 7576 66 7644 4 7652 1 7677 67 7746 3 7755 1 7778 67 7846 4 7879 68 7948 3 7957 1 7980 72 8056 2 8081 71 8182 72 8283 72 8356 1 8384 79 8485 76 8586 79 8687 76 8788 76 8865 2 8880 4 8889 75 8984 2 8990 75 9067 1 9082 4 9087 1 9091 76 9168 1 9183 6 9192 74 9267 3 9284 6 9293 75 9370 1 9384 7 9392 1 9394 77 9478 1 9485 8 9495 76 9572 1 9578 3 9585 10 9596 77 9676 1 9678 5 9686 9 9697 100 9798 88 9887 9 9899 81 9981 6 9989 9 10000 88 10090 4 10095 90 10190 11
6f4fce059a,1 7 9 1 102 9 203 11 215 1 304 13 405 14 506 11 518 1 607 13 708 13 809 14 910 13 1011 15 1112 14 1213 15 1314 15 1415 17 1516 16 1617 18 1718 19 1738 1 1819 21 1920 19 2021 20 2122 21 2223 20 2244 1 2324 17 2342 1 2425 18 2526 19 2627 20 2728 17 2829 16 2930 2 2933 12 3031 2 3035 8 3132 1 3135 4 3233 2 3238 1 8081 1 8283 1 8485 1 8586 1 8687 1 8788 1 8889 1
f0d68a2c3a,
12069cc8fe,
8942571467,
30e76b97d1,
185ff08d47,
e7eeb87ebe,
83349a5042,
39e91d3247,
c41bf71d37,
c9c7cd6fa4,1 10201
5f69ff419b,
169ef6df9c,2984 3 3080 11 3177 17 3277 19 3377 21 3476 23 3576 25 3676 26 3776 28 3876 29 3976 31 4076 32 4177 32 4278 33 4378 33 4479 34 4580 34 4680 35 4781 35 4882 36 4983 36 5084 36 5184 37 5286 36 5386 37 5488 35 5589 35 5691 33 5792 33 5893 32 5994 31 6096 28 6197 27 6299 25 6401 22 6503 20 6610 4 6616 5 6711 1 6714 1 6719 1
acdc75508d,1 10201
bb2c8d04b8,
50094e6744,16 58 116 59 176 1 218 59 319 60 422 58 522 60 622 1 624 59 725 58 826 57 926 58 985 1 1026 61 1126 63 1213 1 1225 65 1314 1 1326 66 1415 1 1427 66 1516 1 1521 1 1523 1 1527 67 1617 2 1622 1 1624 1 1626 69 1718 2 1723 1 1727 68 1819 3 1824 2 1827 70 1920 79 2021 79 2122 79 2223 79 2324 79 2425 79 2526 80 2627 80 2728 81 2829 82 2930 83 3031 82 3132 84 3233 85 3334 85 3435 85 3536 86 3637 86 3738 87 3839 87 3940 87 4041 87 4142 87 4243 86 4344 87 4445 87 4546 87 4647 88 4748 88 4849 88 4950 89 5051 90 5152 90 5253 90 5354 91 5455 92 5556 93 5657 92 5758 93 5859 93 5960 93 6061 94 6162 94 6263 94 6359 1 6364 95 6465 95 6561 1 6566 96 6667 96 6768 96 6865 1 6869 97 6970 96 7071 97 7172 97 7273 97 7374 97 7475 97 7576 96 7677 97 7778 96 7879 96 7980 95 8076 1 8081 94 8177 1 8182 96 8279 1 8283 95 8379 3 8384 99 8485 99 8586 99 8687 100 8788 100 8889 100 8990 96 9087 2 9091 97 9189 1 9192 96 9290 1 9293 95 9389 4 9394 96 9491 2 9495 86 9582 9 9592 2 9596 81 9680 5 9686 1 9688 1 9690 1 9694 1 9697 81 9780 12 9793 1 9795 1 9798 91 9892 1 9897 1 9899 91 9993 1 9995 1 10001 81 10085 1 10087 1 10089 1 10091 1 10097 1 10102 8 10111 72 10188 1 10199 1
a2acd2c458,
947bd72542,1 10201
694e451a45,
29345e1a87,
cc9fae6415,3884 1 3981 3 3985 7 4080 1 4082 12 4183 14 4283 16 4383 18 4484 18 4584 21 4685 21 4786 21 4887 23 4988 22 5089 22 5190 22 5290 22 5393 20 5493 20 5598 15 5699 14 5802 9 5908 1
dfecdb6231,
52b4fe7246,
ff14a3baeb,
290510ddab,
82c95cdb56,1 78 85 16 102 78 184 15 200 1 203 78 287 13 304 78 388 3 392 8 405 78 490 2 494 1 497 5 504 1 506 79 595 1 598 5 604 1 606 79 698 1 701 5 707 79 802 4 808 79 903 4 909 80 1003 1 1005 4 1010 79 1090 1 1104 6 1112 81 1194 1 1205 88 1306 90 1398 2 1407 6 1415 82 1508 6 1516 84 1610 5 1617 81 1699 1 1712 4 1718 82 1819 81 1920 80 2021 81 2122 78 2223 78 2324 80 2425 80 2526 82 2627 83 2712 1 2728 88 2829 91 2930 95 3031 197 3229 2 3232 97 3332 97 3432 201 3634 744 4382 1 4388 1 4398 77 4501 76 4604 75 4706 73 4807 74 4908 76 5009 74 5110 76 5209 80 5310 81 5410 84 5510 1 5512 84 5611 87 5712 90 5811 94 5910 4292
b4f68d9a41,28 3 32 1 36 5 114 6 121 2 136 1 138 1 215 5 221 4 234 1 238 1 325 1 334 1 336 1 439 1 533 1 536 1 539 1 634 1 636 1 641 1 734 1 840 1 926 1 936 1 938 2 945 1 1024 1 1026 1 1037 2 1040 2 1116 4 1121 10 1139 5 1214 17 1233 1 1237 8 1315 18 1334 13 1415 9 1425 11 1438 1 1440 9 1475 1 1477 1 1516 19 1539 1 1541 10 1570 2 1573 4 1617 11 1629 5 1643 10 1673 1 1676 2 1718 15 1745 9 1771 1 1773 6 1780 1 1819 3 1824 10 1843 1 1845 8 1854 1 1856 4 1866 1 1869 17 1920 2 1923 5 1929 5 1935 1 1944 1 1946 15 1963 3 1967 20 2021 2 2024 9 2038 1 2044 1 2047 44 2122 3 2126 4 2133 3 2147 45 2223 1 2225 1 2227 11 2248 46 2324 3 2329 10 2347 50 2425 1 2427 14 2446 51 2526 1 2530 13 2546 53 2629 17 2647 53 2729 73 2830 74 2931 74 3032 74 3133 74 3234 5 3240 68 3335 2 3338 2 3341 1 3343 66 3436 75 3537 1 3539 73 3638 1 3640 74 3739 77 3840 79 3941 2 3944 77 4043 1 4045 77 4142 1 4144 1 4146 77 4244 1 4247 77 4345 2 4348 78 4446 3 4450 77 4547 1 4551 76 4648 1 4652 77 4749 1 4752 1 4754 75 4850 1 4853 1 4856 75 4951 2 4957 75 5051 3 5055 1 5058 75 5153 3 5157 1 5159 75 5254 81 5355 82 5456 83 5557 84 5658 83 5759 84 5859 85 5961 84 6062 84 6163 84 6264 5 6271 77 6372 77 6474 76 6575 76 6676 76 6778 75 6879 75 6981 74 7083 73 7185 4 7190 1 7197 60 7301 57 7404 54 7507 51 7610 49 7712 49 7813 49 7916 46 8018 45 8119 44 8221 42 8322 1 8324 39 8424 40 8524 40 8627 36 8729 34 8833 28 8936 25 9040 19 9142 14
da98867337,
10cda1078b,
a5902ff190,
7aca719607,
89eb8ef89f,
bc2c4e63bf,
f0c9c19f47,
a06f18de38,
f9ac19b3e4,
44cf29d695,1 100 102 100 203 98 304 54 359 41 405 47 453 52 506 153 660 194 855 7 863 90 955 1 961 1 967 43 1011 46 1068 85 1155 1 1172 2 1175 69 1249 3 1253 2 1277 68 1381 32 1414 31 1486 59 1588 3 1592 49 1643 1 1694 47 1743 1 1797 6 1804 39 1898 3 1902 2 1906 12 1920 23 2002 2 2006 1 2009 11 2021 22 2110 11 2122 23 2210 1 2212 9 2223 21 2245 1 2314 8 2324 23 2415 7 2424 22 2516 8 2526 21 2619 3 2623 1 2627 20 2648 1 2720 5 2728 20 2749 1 2821 3 2829 23 2924 4 2929 23 3026 2 3030 24 3127 2 3132 22 3229 1 3233 20 3254 1 3327 1 3331 1 3334 20 3355 1 3429 1 3432 1 3435 22 3530 1 3534 1 3536 23 3631 1 3634 1 3637 22 3732 1 3734 2 3738 24 3832 2 3839 24 3934 1 3936 1 3938 1 3940 24 4035 3 4041 21 4063 1 4136 4 4142 22 4165 1 4237 4 4243 23 4338 4 4344 22 4367 2 4438 5 4445 24 4539 2 4542 28 4640 5 4647 21 4669 2 4741 6 4748 19 4842 5 4848 17 4866 1 4868 1 4943 6 4950 15 5045 21 5067 1 5145 13 5159 8 5245 18 5264 4 5346 15 5362 8 5447 15 5464 3 5469 2 5548 22 5571 1 5649 17 5667 2 5671 2 5750 17 5768 3 5772 2 5850 18 5869 3 5873 2 5951 19 5971 2 6052 19 6072 2 6077 1 6153 19 6173 4 6254 19 6274 3 6354 26 6455 26 6556 25 6582 2 6656 26 6683 1 6757 28 6858 28 6887 1 6958 30 7058 31 7091 1 7158 33 7192 1 7259 32 7294 1 7360 32 7393 1 7461 34 7562 35 7661 34 7696 2 7762 34 7798 1 7863 33 7897 2 7957 2 7962 1 7964 36 8060 2 8063 35 8099 2 8160 1 8163 36 8200 1 8260 1 8262 40 8359 2 8362 2 8367 36 8461 43 8559 1 8563 42 8657 1 8659 2 8663 44 8758 2 8764 47 8823 1 8853 1 8856 2 8859 3 8864 49 8917 3 8924 1 8958 71 9057 78 9154 85 9240 1 9243 2 9246 1 9250 94 9345 1 9347 1 9350 1 9352 749 10102 100
90a3f2a030,
27c2b373be,1 72 102 74 203 74 304 74 405 75 506 73 607 72 708 73 809 72 882 1 910 75 1011 73 1112 73 1213 70 1314 70 1387 1 1415 70 1488 1 1490 1 1516 71 1588 5 1617 76 1718 73 1792 2 1819 77 1920 77 2021 78 2122 77 2200 1 2223 78 2302 1 2304 1 2324 83 2425 84 2526 84 2613 4 2619 1 2627 92 2720 2 2728 97 2826 1 2829 3736 6566 201 6768 96 6865 100 6966 1 6968 91 7060 8 7070 99 7170 71 7244 12 7257 13 7272 69 7343 1 7348 1 7350 7 7358 15 7374 68 7443 2 7448 2 7451 6 7458 16 7475 71 7547 2 7550 211 7762 2 7768 98 7867 1 7869 8 7878 89 7968 3 7972 6 7980 71 8052 19 8072 7 8080 90 8171 8 8180 1 8182 97 8280 1 8283 100 8384 301 8686 1114 9801 6 9808 2 9811 1 9816 3 9820 89 9910 1 9912 2 9916 2 9919 81 10001 10 10012 1 10023 78 10103 7 10111 1 10124 46 10172 30
4502ae73a4,2276 7 2373 16 2472 19 2571 22 2669 27 2766 33 2864 37 2961 43 3060 45 3106 1 3159 50 3259 51 3357 55 3457 58 3556 61 3656 62 3756 63 3854 66 3955 66 4055 67 4155 67 4255 68 4355 70 4455 71 4555 72 4655 73 4752 2 4755 73 4851 1 4853 76 4952 1 4954 76 5053 77 5153 78 5254 78 5355 78 5456 77 5557 77 5658 77 5759 76 5861 76 5969 68 6070 68 6172 67 6274 65 6377 63 6481 59 6584 57 6686 55 6787 55 6890 52 6996 46 7098 43 7201 40 7303 38 7406 33 7508 31 7610 29 7711 27 7814 24 7916 22 8018 19 8121 17 8225 12 8329 7
c20fd75377,
328183c949,1343 14 1440 23 1540 25 1642 26 1741 30 1842 32 1941 36 2042 37 2080 1 2141 43 2240 47 2340 47 2388 1 2440 49 2536 1 2538 54 2628 2 2632 1 2636 59 2728 70 2799 1 2829 69 2899 1 2930 73 3031 72 3132 73 3206 1 3208 1 3233 74 3334 76 3412 1 3435 77 3513 1 3536 81 3637 81 3738 83 3839 83 3940 85 4041 84 4142 86 4243 86 4344 88 4445 89 4546 88 4647 90 4748 91 4849 91 4950 92 5051 93 5152 93 5253 95 5349 1 5354 96 5451 1 5455 98 5556 98 5657 98 5758 98 5859 98 5960 99 6061 99 6162 99 6263 98 6364 99 6465 98 6566 97 6667 98 6768 98 6869 98 6970 99 7071 99 7172 99 7273 99 7374 99 7475 99 7576 100 7677 100 7778 99 7879 99 7980 99 8081 99 8182 98 8283 98 8384 98 8485 98 8586 98 8687 98 8788 95 8889 93 8990 93 9091 93 9192 93 9293 92 9394 93 9495 91 9596 91 9697 91 9798 91 9899 91 10000 90 10101 90
9010a05d5e,1 10201
a0447d64e2,
39ae6fcec8,1 1 10 68 103 2 107 1 110 70 204 2 207 75 305 8 316 2 319 63 405 7 413 2 416 67 507 78 607 7 616 69 708 7 717 69 809 7 817 71 910 81 1011 83 1112 84 1213 85 1314 85 1415 86 1516 88 1617 88 1718 89 1819 89 1920 91 2021 92 2122 95 2223 96 2324 97 2425 97 2526 96 2627 95 2723 1 2728 99 2829 5756 8586 100 8687 100 8788 100 8889 97 8990 95 9091 93 9192 93 9293 90 9394 89 9484 1 9495 85 9581 1 9596 83 9680 1 9697 86 9798 19 9818 65 9899 14 9914 2 9917 68 10001 85 10102 8 10112 2 10115 2 10120 67
9e3ed814dc,2286 2 2363 1 2369 1 2384 9 2463 2 2469 4 2483 11 2563 33 2662 36 2762 38 2862 39 2962 41 3062 43 3162 45 3263 45 3363 47 3464 47 3564 49 3665 49 3765 50 3866 51 3966 52 4067 52 4167 53 4268 54 4368 54 4469 54 4569 55 4670 56 4770 57 4871 57 4972 56 5073 56 5174 56 5275 56 5376 57 5477 57 5577 58 5679 56 5779 57 5880 58 5981 57 6083 56 6184 54 6285 53 6386 52 6488 51 6589 51 6690 51 6791 50 6893 49 6994 49 7097 47 7198 47 7300 46 7403 43 7505 42 7607 41 7713 1 7716 32 7822 26 7926 15 7944 1 8030 8 8134 1
dc0eba53d6,7880 1 8082 1 8687 1 8788 2 8889 1 8994 3 9592 1 9792 1 9997 1 10093 1 10199 1
d8e410e039,
fa6d82463a,
e2c5c7991c,
9a99e91fa3,
45228f9dab,1455 6 1553 12 1652 15 1747 25 1841 34 1941 49 2040 53 2139 55 2238 58 2338 60 2438 62 2537 65 2637 67 2737 68 2830 2 2838 69 2932 4 2938 72 3032 80 3133 81 3234 82 3335 83 3436 84 3536 85 3637 86 3738 87 3839 87 3940 89 4041 89 4142 92 4243 92 4344 94 4445 95 4546 95 4647 95 4744 2 4748 96 4846 1 4849 96 4946 2 4950 96 5048 1 5051 96 5148 2 5152 97 5250 1 5253 99 5354 99 5455 99 5556 99 5656 2525 8182 99 8283 99 8384 99 8485 99 8586 99 8687 98 8788 95 8889 94 8990 93 9091 90 9182 1 9192 91 9294 87 9395 82 9478 1 9480 1 9482 1 9495 81 9580 1 9597 6 9604 51 9656 19 9698 79 9781 1 9802 55 9858 5 9866 10 9899 3 9903 53 9957 1 9959 1 9961 2 9965 1 9967 11 9981 1 10000 2 10004 54 10059 1 10069 3 10073 1 10078 1 10101 2 10106 53 10172 1 10174 11 10186 1
24bb32f0f8,
dd01adda98,
